,file,b1,b2
2019-05-09 14:00:02,WSCT0030.JPG,0.07660402937220295,1.5204227450980392
2019-05-09 15:00:00,WSCT0031.JPG,0.06820201033830196,1.425861960784314
2019-05-09 16:00:02,WSCT0032.JPG,0.05965313675873013,1.4638482352941173
2019-05-09 17:00:02,WSCT0033.JPG,0.05828953226503652,1.4535250980392158
2019-05-10 07:00:02,WSCT0035.JPG,0.04975127196005898,1.2746447058823527
2019-05-10 08:00:02,WSCT0036.JPG,0.05822157412167055,1.4278317647058825
2019-05-10 09:00:02,WSCT0037.JPG,0.05848527168210843,1.3563498039215685
2019-05-10 10:00:02,WSCT0038.JPG,0.05521273706512174,1.3985172549019604
2019-05-10 11:00:00,WSCT0039.JPG,0.05428964145116059,1.3631380392156864
2019-05-10 12:00:02,WSCT0040.JPG,0.03218555633188057,1.3595141176470593
2019-05-10 13:00:02,WSCT0041.JPG,0.05801161457944797,1.3963376470588236
2019-05-10 14:00:02,WSCT0042.JPG,0.07034383680127893,1.6420219607843136
2019-05-10 15:00:02,WSCT0043.JPG,0.04472280806402776,1.3567925490196078
2019-05-10 16:00:00,WSCT0044.JPG,0.04272684501669868,1.3661870588235296
2019-05-10 17:00:02,WSCT0045.JPG,0.05135960201867289,1.5190686274509804
2019-05-11 09:00:02,WSCT0049.JPG,0.02288291984513585,1.2321556862745098
2019-05-11 10:00:02,WSCT0050.JPG,0.014174871175289983,1.1387368627450982
